StationType	PANGAEA Sample ID	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Station	Feature	Filter size	16S.miTag	0.8.5.Barcode	5.20.Barcode	20.180.Barcode	180.2000.Barcode	OG	0.8.5.OTU	5.20.OTU	20.180.OTU	180.2000.OTU	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 	Mean_Date [YY/MM/DD hh:mm]	Mean_Lat	Mean_Long	Mean_Depth [m]	Mean_Temperature [deg C]	Mean_Salinity [PSU]	Mean_Oxygen [umol/kg]	Mean_Nitrates[umol/L]	NO2 [umol/L]	PO4 [umol/L]	NO2NO3 [umol/L]	SI [umol/L]	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]	Mean Depth Max Fluo [m]	Mean Depth Max N2 [m]	Mean Depth Max O2 [m]	Mean Depth Min O2 [m]	Mean Depth Nitracline [m]	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]
TARA_004_DCM	TARA_X000000368	TARA_004	2009-09-15T18:00	36.5533	-6.5669	40	TARA_004	DCM	0.22-1.6	6.85	7.02858467	3.81789033		2.35527052	7.16	4.41926095	2.11810473		1.26904361	0.22	1.6	Westerlies Biome	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	9/15/2009 16:45	36.57	-6.54	38.7	16.2	36.6							37.6	0.01	0.02		0	4	38	18				3055	451	4174	4030	6.85	7.16	14607	0.747	1226212	56383	1282596	6890	11
TARA_082_DCM	TARA_B100000767	TARA_082	2010-12-06T18:58	-47.2007	-57.9446	40	TARA_082	DCM	0.22-3	6.44	5.19018066	1.89409191	5.12681102	3.28432559	7.18	2.64426905	0.69424695	2.5750454	1.35468386	0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(FKLD) Southwest Atlantic Shelves Province [MRGID:21469]	12/6/2010 16:37	-47.21	-58.06	41.8	7	34.1	306.2	17.1	0.14	1.42	19.07	3.08	29.5	-0.01	0.05	1.01	2.92	29	45	62	60	556	63	2696	383	3778	3681	6.44	7.18	12940	0.759	445364	0	445364	7963	8
TARA_102_DCM	TARA_B100000902	TARA_102	2011-04-22T21:13	-5.2669	-85.2732	40	TARA_102	DCM	0.22-3	6.78	6.75738466	5.55929894	4.08626355	4.64537109	7.17	4.09976587	2.61297185	1.87036827	1.71911668	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]	4/22/2011 19:51	-5.27	-85.23	45.7	19.6	34.9	103.9	20.3	1.2	1.86	24.4	10.5	44.4	0	0.04	1.8	3.75	18	37	36	29	353	41	2931	448	4241	4111	6.78	7.17	15878	0.741	1071414	246947	1318361	13382	12
TARA_007_DCM	TARA_A200000159	TARA_007	2009-09-23T16:08	37.0541	1.9478	42	TARA_007	DCM	0.22-1.6	6.8	6.82946358	4.30056359	5.20698205	4.25991831	7.28	4.5617674	2.54313705	3.12339748	2.20694849	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	9/23/2009 16:52	37.04	1.95	41.7	17.4				0	0.01	0.03	0.5	29.9	-0.79	0		4.92	18	44	41				3135	483	4786	4585	6.8	7.28	16417	0.75	2580789	156125	2736914	1859	14
TARA_025_DCM	TARA_E500000331	TARA_025	2009-11-23T13:52	39.3991	19.3997	50	TARA_025	DCM	0.22-1.6	6.73	7.76633868	4.75805632	5.34830788	3.03341266	7.13	5.60959309	2.58915903	2.82310249	1.57430752	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/23/2009 12:40	39.41	19.38	51.7	15.2	38.5	229.5		0.07	0.07	0.15	1.82	13.6	0.18	0.02		1.25	29	54	38	33	374		3128	472	4369	4195	6.73	7.13	15774	0.737					14
TARA_068_DCM	TARA_B100000482	TARA_068	2010-09-14T13:30	-31.027	4.6802	50	TARA_068	DCM	0.22-3	6.58		3.95688423		3.89873662	7.17		2.07333471		2.0127075	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]	9/14/2010 9:14	-31.03	4.69	40.3	16.8	35.7	231.7		0.29	0.23	1.08	2.44	34.1	-0.25	0.04	0.22	31.83	187	37	200	56	772	450	2818	441	3797	3690	6.58	7.17	16121	0.741	549370	226449	775819	15436	9
TARA_100_DCM	TARA_B100000965	TARA_100	2011-04-15T19:38	-12.9723	-96.0122	50	TARA_100	DCM	0.22-3	6.83	7.70907518	3.96939594	4.41205979	3.94974999	7.25	4.83891778	1.95280411	2.10393327	1.59684681	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	4/15/2011 13:10	-12.99	-95.99	57.6	20.6	35.5	216.8	1.5	0.16	0.78	5.7	1.9	41.8	-0.02	0.05	0.34	8.97	35	61	51	52	239	146	3053	467	4404	4230	6.83	7.25	18465	0.738	384276	116141	500417	4501	14
TARA_009_DCM	TARA_X000001036	TARA_009	2009-09-28T16:59	39.0609	5.9422	55	TARA_009	DCM	0.22-1.6	6.91	7.19613328	1.11744807		4.09468703	7.15	5.0558657	0.04960668		1.95180735	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	9/28/2009 13:36	39.07	5.86	55	16.2	37.8			0.02	0.02	0.08	0.6	26.7	-0.77	0.08	0.69	13.61	21	53	35				3229	473	4463	4297	6.91	7.15	15318	0.742	781039	19832	800871	2882	11
TARA_023_DCM	TARA_E500000081	TARA_023	2009-11-18T13:50	42.1735	17.7252	55	TARA_023	DCM	0.22-1.6	6.74	7.31430243	2.0425516	4.7126174	4.29937226	7.15	5.1447324	0.38875009	2.18700909	2.28882218	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/18/2009 12:42	42.17	17.72	55.2	15.7	38.4	224.3		0.01	0.01	0.05	1.05	8.5	-0.39	0		1.89	9	54	55	32	157		2943	441	4076	3974	6.74	7.15	15924	0.739	594712	29838	624550	1090	17
TARA_018_DCM	TARA_S200000501	TARA_018	2009-11-02T14:07	35.7528	14.2765	60	TARA_018	DCM	0.22-1.6	6.55	7.27733471	4.80340419	5.37006157	4.80978637	7.14	4.72971057	2.57236291	2.37509184	2.39038698	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/2/2009 12:43	35.76	14.25	61.6	18.4	37.9	237.9		0.03	0.01	0.02	0.62	23.2	0.14	0		7.67	39	84	57	56	395		2746	434	4034	3922	6.55	7.14	14088	0.748					13
TARA_034_DCM	TARA_B100000029	TARA_034	2010-01-20T11:50	18.4417	39.8567	60	TARA_034	DCM	0.22-1.6	6.46	7.51151953	5.74093168	5.03442969	6.00262628	7.19	5.45667137	3.27720077	2.30796132	3.42468358	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	(REDS) Red Sea, Persian Gulf Province [MRGID:21474]	1/20/2010 7:44	18.4	39.86	60.1	27.6	38.9	175.4	0.1	0.27	0.09	0.64	1.35	35.4		0	0.67	0	26	43	78	28	217	149	3330	532	4936	4776	6.46	7.19	17914	0.734		16783	16783	99	13
